"object","link"
"multispec_ortho","https://drive.google.com/file/d/1nI4xlFsLcmMAIjebUmCF5uVadN_AzA-v"
"multispec_ortho_crop","https://drive.google.com/file/d/1TuRyWiEqw3kIYlKTbP77KoxA_AloQhab"
"aggieair_dead_train_cpg","https://drive.google.com/file/d/128YkiBWKqP0oAZPZOOQl2RIDQJZeL9gD"
"aggieair_dead_train_dbf","https://drive.google.com/file/d/1TA7z4waCnPGa3aYxb45MGeSuI0dtJeTO"
"aggieair_dead_train_prj","https://drive.google.com/file/d/1p72pewHvvkUZSmmSUQQhMeOtBuURMM5T"
"aggieair_dead_train_sbn","https://drive.google.com/file/d/1T6Tu0LRLedfpjlFpSS-lJTKmcoOYA4Is"
"aggieair_dead_train_sbx","https://drive.google.com/file/d/1a4IeJWpZevMVUXidMRZtStE7daCrGvy2"
"aggieair_dead_train_shp","https://drive.google.com/file/d/1ZnpDSRJhKiSfIVYUHzEcegT-q5k18HL7"
"aggieair_dead_train_shpxml","https://drive.google.com/file/d/1Fq0qZAsvKcPj8ysdxW3soN-HyK9cPoFe"
"aggieair_dead_train_shx","https://drive.google.com/file/d/1DZkIHD7aVm7eEdK6iDKBg6SKaiHsWZtZ"
"aggieair_firs_live_train_cpg","https://drive.google.com/file/d/1fxHnusFCuxV9scEbIb7S3uK12p-JDyvK"
"aggieair_firs_live_train_dbf","https://drive.google.com/file/d/1_ZLNlx9zZoHcl86w87T2sQmxqhci2n14"
"aggieair_firs_live_train_prj","https://drive.google.com/file/d/12tFuqR61TCXlNOsgkYBeCM0EEngWRMyB"
"aggieair_firs_live_train_sbn","https://drive.google.com/file/d/1KQ90DnW7lm1QOzxYRwWxsvP9J-dOlpTt"
"aggieair_firs_live_train_sbx","https://drive.google.com/file/d/1cg3J2_fv-Xxma_Xkb6VR6NYeD3Gyu-or"
"aggieair_firs_live_train_shp","https://drive.google.com/file/d/17YOUhymlrEsmSaqm5vubkPTvrBTxJ3uw"
"aggieair_firs_live_train_shpxml","https://drive.google.com/file/d/12k1c6Z3GxIEYZah8XNIQf84FmeqaT2Kq"
"aggieair_firs_live_train_shx","https://drive.google.com/file/d/1KDLF1XqXOjI0FxUiFwPDP8sXM2LBqEHJ"
"aggieair_PIEN_live_train_cpg","https://drive.google.com/file/d/1mz8BcxO-hgUyKUb7auWNePfuQ2x7q0U8"
"aggieair_PIEN_live_train_dbf","https://drive.google.com/file/d/1B74-9SKFIShL018jsWUyI4rEY_DBSylo"
"aggieair_PIEN_live_train_prj","https://drive.google.com/file/d/1x28PRwWLwzi-7rFtPp6qArTvey8nAb20"
"aggieair_PIEN_live_train_sbn","https://drive.google.com/file/d/1MxCPQz6J66-64z31okr_ru9fX8Dt5YNy"
"aggieair_PIEN_live_train_sbx","https://drive.google.com/file/d/1qwwG7wjMuH-vIDbrJ2Lf7-tYF_ZK2vJT"
